Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Gender_Churn,Education_Level_Churn,Marital_Status_Churn,Income_Category_Churn,Card_Category_Churn
49,2,38,3,2,0,8077.0,1965,6112.0,0.637,1329,26,0.444,0.243,0.14615223317257287,0.17829457364341086,0.15126946874333264,0.13480741797432239,0.1609792284866469
61,0,51,4,2,2,8476.0,0,8476.0,0.675,3889,67,0.489,0.0,0.17357222844344905,0.15201192250372578,0.16941415166117169,0.1681654676258993,0.1609792284866469
27,0,19,1,1,3,34516.0,1131,33385.0,0.715,14716,112,0.75,0.033,0.14615223317257287,0.15202369200394866,0.17222963951935916,0.15765472312703582,0.14774774774774774
52,1,36,1,1,3,3040.0,2517,523.0,0.774,4608,61,1.033,0.828,0.17357222844344905,0.1685319289005925,0.15126946874333264,0.17186183656276327,0.1609792284866469
44,3,36,2,3,3,2228.0,0,2228.0,0.6859999999999999,2523,45,0.607,0.0,0.17357222844344905,0.15201192250372578,0.16941415166117169,0.17186183656276327,0.1609792284866469
51,3,36,3,2,3,12605.0,1449,11156.0,0.703,1870,56,0.647,0.115,0.17357222844344905,0.15202369200394866,0.15126946874333264,0.1681654676258993,0.1609792284866469
57,0,42,6,4,3,8377.0,1211,7166.0,0.813,1797,44,1.2,0.145,0.14615223317257287,0.1593813046402152,0.16941415166117169,0.13480741797432239,0.1609792284866469
45,0,35,6,1,3,5923.0,1686,4237.0,0.7020000000000001,1236,35,0.591,0.285,0.17357222844344905,0.15202369200394866,0.16176470588235295,0.17186183656276327,0.1609792284866469
57,1,47,4,1,3,3416.0,2468,948.0,0.598,1536,42,0.556,0.722,0.17357222844344905,0.1685319289005925,0.15126946874333264,0.17186183656276327,0.1609792284866469
48,3,43,6,2,2,2423.0,1773,650.0,0.574,2038,64,0.362,0.732,0.17357222844344905,0.15569053708439898,0.16941415166117169,0.17186183656276327,0.1609792284866469
46,2,36,5,4,2,33142.0,0,33142.0,0.846,4347,63,0.575,0.0,0.14615223317257287,0.15202369200394866,0.15126946874333264,0.15765472312703582,0.1609792284866469
43,4,38,4,2,2,2655.0,1650,1005.0,0.701,4025,62,0.59,0.621,0.17357222844344905,0.15569053708439898,0.15126946874333264,0.17186183656276327,0.1609792284866469
44,4,36,2,2,1,34516.0,1635,32881.0,0.768,7219,86,0.564,0.047,0.14615223317257287,0.15569053708439898,0.16941415166117169,0.1733149931224209,0.14774774774774774
49,1,37,1,2,2,18349.0,1209,17140.0,0.738,16422,110,0.8029999999999999,0.066,0.14615223317257287,0.1685319289005925,0.16941415166117169,0.13480741797432239,0.1609792284866469
31,2,25,5,3,1,3288.0,2495,793.0,0.805,4370,83,0.8859999999999999,0.759,0.17357222844344905,0.1685319289005925,0.16941415166117169,0.1681654676258993,0.1609792284866469
43,3,30,3,2,4,19711.0,0,19711.0,1.037,3602,72,1.0,0.0,0.14615223317257287,0.15569053708439898,0.16941415166117169,0.13480741797432239,0.1609792284866469
46,4,35,5,2,3,2722.0,1473,1249.0,0.737,3129,69,0.6829999999999999,0.541,0.17357222844344905,0.1593813046402152,0.16941415166117169,0.17186183656276327,0.1609792284866469
39,4,29,6,3,3,8700.0,1742,6958.0,0.4539999999999999,2306,50,0.613,0.2,0.14615223317257287,0.17829457364341086,0.15126946874333264,0.1733149931224209,0.1609792284866469
47,3,36,6,2,2,13399.0,2505,10894.0,0.627,1326,31,0.8240000000000001,0.187,0.14615223317257287,0.17829457364341086,0.17222963951935916,0.15765472312703582,0.1609792284866469
54,2,46,4,3,3,2611.0,1573,1038.0,0.902,4899,68,0.581,0.602,0.17357222844344905,0.1685319289005925,0.15126946874333264,0.17186183656276327,0.1609792284866469
44,3,33,6,3,2,15468.0,1187,14281.0,0.93,4484,81,0.841,0.077,0.14615223317257287,0.15202369200394866,0.17222963951935916,0.13480741797432239,0.1609792284866469
39,2,36,1,3,1,2816.0,2517,299.0,0.742,4817,87,0.7759999999999999,0.894,0.17357222844344905,0.15201192250372578,0.15126946874333264,0.17186183656276327,0.1609792284866469
37,1,36,6,2,2,16594.0,1931,14663.0,0.7020000000000001,2134,47,0.8079999999999999,0.1159999999999999,0.17357222844344905,0.15201192250372578,0.16941415166117169,0.1681654676258993,0.1609792284866469
50,2,36,5,4,1,2428.0,2005,423.0,0.835,5170,68,0.659,0.826,0.17357222844344905,0.15202369200394866,0.15126946874333264,0.15139664804469274,0.1609792284866469
53,2,43,4,2,4,4039.0,1397,2642.0,0.396,1494,36,0.286,0.346,0.14615223317257287,0.17829457364341086,0.15126946874333264,0.15765472312703582,0.1609792284866469
33,1,20,2,2,3,4883.0,0,4883.0,0.7240000000000001,4613,82,1.0,0.0,0.17357222844344905,0.15569053708439898,0.16941415166117169,0.15139664804469274,0.1609792284866469
50,1,32,6,1,4,5916.0,983,4933.0,0.7609999999999999,3752,75,0.974,0.166,0.17357222844344905,0.1685319289005925,0.16941415166117169,0.1681654676258993,0.1609792284866469
51,1,37,2,3,1,34516.0,2417,32099.0,0.947,13021,117,0.625,0.07,0.14615223317257287,0.15569053708439898,0.15126946874333264,0.1733149931224209,0.1810344827586207
58,2,50,4,3,3,5386.0,0,5386.0,0.777,4846,84,0.68,0.0,0.17357222844344905,0.15569053708439898,0.16941415166117169,0.15139664804469274,0.1609792284866469
53,4,36,4,1,3,2972.0,2160,812.0,0.956,2552,62,0.6759999999999999,0.727,0.17357222844344905,0.15202369200394866,0.15126946874333264,0.17186183656276327,0.1609792284866469
40,2,23,6,2,1,18332.0,1376,16956.0,0.6,4095,67,0.675,0.075,0.17357222844344905,0.15569053708439898,0.16176470588235295,0.1681654676258993,0.1609792284866469
56,2,43,1,2,2,2041.0,1158,883.0,0.563,3588,63,0.432,0.5670000000000001,0.17357222844344905,0.15201192250372578,0.15126946874333264,0.17186183656276327,0.1609792284866469
33,2,24,2,3,2,4178.0,2463,1715.0,0.815,16216,107,0.8140000000000001,0.59,0.14615223317257287,0.17829457364341086,0.16941415166117169,0.15765472312703582,0.1609792284866469
63,1,53,4,1,2,6128.0,1895,4233.0,0.583,1700,42,0.355,0.309,0.14615223317257287,0.15569053708439898,0.15126946874333264,0.15139664804469274,0.1609792284866469
42,4,23,1,2,3,2647.0,1245,1402.0,0.7120000000000001,4911,82,0.8640000000000001,0.47,0.17357222844344905,0.15569053708439898,0.15126946874333264,0.15139664804469274,0.1609792284866469
42,2,28,6,2,1,1820.0,0,1820.0,0.6579999999999999,4592,67,0.8109999999999999,0.0,0.17357222844344905,0.15202369200394866,0.15126946874333264,0.15139664804469274,0.1609792284866469
57,0,36,5,1,3,3532.0,869,2663.0,1.038,4297,64,0.778,0.246,0.17357222844344905,0.15201192250372578,0.16176470588235295,0.17186183656276327,0.1609792284866469
38,3,25,3,3,4,18293.0,0,18293.0,0.5710000000000001,2958,63,0.432,0.0,0.14615223317257287,0.15569053708439898,0.16941415166117169,0.13480741797432239,0.1609792284866469
39,1,28,3,3,4,4683.0,2514,2169.0,0.58,2010,45,0.731,0.537,0.14615223317257287,0.1593813046402152,0.15126946874333264,0.17186183656276327,0.1609792284866469
60,1,50,5,1,3,1438.3,0,1438.3,0.578,4148,84,0.7140000000000001,0.0,0.17357222844344905,0.15202369200394866,0.16941415166117169,0.15139664804469274,0.1609792284866469
47,5,38,4,1,2,7357.0,1069,6288.0,0.77,3943,64,0.6409999999999999,0.145,0.14615223317257287,0.15201192250372578,0.15126946874333264,0.13480741797432239,0.1609792284866469
52,4,36,4,1,3,9375.0,1625,7750.0,0.532,2108,51,0.5,0.173,0.14615223317257287,0.15569053708439898,0.15126946874333264,0.13480741797432239,0.1609792284866469
45,2,41,5,2,2,8532.0,2165,6367.0,0.7070000000000001,3242,63,0.75,0.254,0.14615223317257287,0.15569053708439898,0.15126946874333264,0.15139664804469274,0.1609792284866469
48,3,37,4,1,2,6725.0,493,6232.0,0.72,13891,106,0.606,0.073,0.17357222844344905,0.17829457364341086,0.15126946874333264,0.15139664804469274,0.1609792284866469
38,3,23,6,2,2,5645.0,0,5645.0,1.05,1527,32,0.455,0.0,0.17357222844344905,0.1593813046402152,0.15126946874333264,0.17186183656276327,0.1609792284866469
43,2,34,2,4,3,4617.0,1035,3582.0,0.36,1779,35,0.591,0.2239999999999999,0.14615223317257287,0.15202369200394866,0.16941415166117169,0.15765472312703582,0.1609792284866469
